residual_growth_fraction	O2_fraction_of_qref	O2_capacity	condition_max_growth_h-1	max_PHB_flux_mmol_lump_gDW_h	max_PHB_mass_rate_g_gDW_h
0.1	0.275	1.3156535418977502	0.15773411422455924	0.8306107482126182	0.2860291172544972
0.1	0.3	1.435258409343	0.16274407268555666	0.8292008546796749	0.28554360631749287
0.1	0.325	1.5548632767882502	0.1677540311465558	0.8277909611467289	0.2850580953804876
0.1	0.35	1.6744681442335	0.1727639896075551	0.8263810676137782	0.28457258444348066
0.1	0.375	1.79407301167875	0.17777394806855426	0.8249711740808419	0.2840870735064787
0.1	0.4	1.9136778791240001	0.18278390652955342	0.8235612805478915	0.28360156256947194
0.1	0.425	2.0332827465692502	0.18779386499055267	0.8221513870149508	0.2831160516324685
0.1	0.45	2.1528876140145004	0.19280382345155184	0.820741493482005	0.28263054069546323
0.1	0.475	2.27249248145975	0.19781378191255103	0.8193315999490678	0.282145029758461
0.1	0.5	2.392097348905	0.2028237403735502	0.8179217064161278	0.2816595188214578
0.1	0.525	2.5117022163502503	0.2078336988345494	0.8165118128831841	0.28117400788445324
0.1	0.55	2.6313070837955004	0.2128436572955486	0.8151019193502318	0.28068849694744585
0.1	0.5750000000000001	2.7509119512407505	0.2178536157565478	0.8136920258173076	0.2802029860104481
0.1	0.6000000000000001	2.8705168186860006	0.222863574217547	0.8122821322843652	0.279717475073444
0.1	0.625	2.9901216861312503	0.22787353267854618	0.8108722387514267	0.2792319641364413
0.1	0.65	3.1097265535765004	0.2328834911395452	0.8094623452184769	0.2787464531994347
0.1	0.675	3.2293314210217505	0.23789344960054443	0.8080524516855302	0.2782609422624292
0.1	0.7000000000000001	3.3489362884670006	0.2428400819857334	0.8066603792633654	0.2777815682031325
0.1	0.7250000000000001	3.4685411559122508	0.24663357738930322	0.8055928205843023	0.27741394369641037
0.1	0.75	3.5881460233575	0.25033343780348977	0.8045516124961731	0.27705539327918216
0.1	0.775	3.70775089080275	0.254033298217674	0.8035104044080634	0.2766968428619608
0.1	0.8	3.8273557582480002	0.2577331586318625	0.8024691963199352	0.27633829244473285
0.1	0.8250000000000001	3.9469606256932503	0.2614330190460482	0.8014279882318178	0.2759797420275088
0.1	0.8500000000000001	4.0665654931385005	0.2651328794602339	0.8003867801436985	0.27562119161028403
0.1	0.875	4.18617036058375	0.2688327398744165	0.7993455720555666	0.2752626411930549
0.1	0.9	4.305775228029001	0.27253260028860254	0.798304363967457	0.2749040907758335
0.1	0.925	4.42538009547425	0.2762324607027868	0.7972631558793324	0.2745455403586069
0.1	0.95	4.5449849629195	0.279932321116973	0.7962219477911952	0.274186989941376
